"start_date","end_date","vax","ymd","vax_lb","vax_ub","point.est","CI.L","CI.U"
"2021-01-08","2021-01-11",0.03,2021-01-11,-0.004,0.064,0.0307282801464458,0.0211916952961629,0.04191796606903
"2021-01-22","2021-01-25",0.09,2021-01-25,0.056,0.124,0.0885670380583369,0.072582930710986,0.105930563836884
"2021-01-29","2021-02-01",0.13,2021-02-01,0.096,0.164,0.129458018884915,0.109897949573567,0.150344171628959
"2021-02-05","2021-02-08",0.15,2021-02-08,0.116,0.184,0.150576935419123,0.13153767944574,0.171902154315805
"2021-02-19","2021-02-22",0.19,2021-02-22,0.156,0.224,0.190050411653938,0.167233866114183,0.21418164579023
"2021-02-26","2021-03-01",0.23,2021-03-01,0.196,0.264,0.229491823256678,0.205907904719371,0.254607983533286
"2021-03-05","2021-03-08",0.25,2021-03-08,0.216,0.284,0.251874187232888,0.228948427311079,0.277310509341843
"2021-03-19","2021-03-22",0.36,2021-03-22,0.326,0.394,0.358189604923055,0.328815914466116,0.388077540504107
"2021-04-02","2021-04-05",0.47,2021-04-05,0.436,0.504,0.468316910509359,0.437307183415734,0.499452195011488
"2021-04-16","2021-04-19",0.56,2021-04-19,0.526,0.594,0.558299831203523,0.52814941093802,0.588183263786561
"2021-05-07","2021-05-10",0.64,2021-05-10,0.606,0.674,0.638912438591008,0.610226420518984,0.667088919353601
"2021-05-21","2021-05-24",0.65,2021-05-24,0.616,0.684,0.654494743927704,0.631067321900272,0.679415927013009
"2021-06-04","2021-06-07",0.66,2021-06-07,0.626,0.694,0.666946710494419,0.644876999779829,0.691243420521307
"2021-06-25","2021-06-28",0.68,2021-06-28,0.646,0.714,0.68445440446376,0.661647986831877,0.709487857957792
"2021-07-16","2021-07-19",0.69,2021-07-19,0.656,0.724,0.696315234476167,0.674882798815302,0.719771179701665
"2021-07-30","2021-08-02",0.7,2021-08-02,0.666,0.734,0.707113896117652,0.686194033535189,0.730287696103066
"2021-08-13","2021-08-16",0.7,2021-08-16,0.666,0.734,0.711756669514019,0.692801513038431,0.732873340075403
"2021-08-27","2021-08-30",0.72,2021-08-30,0.686,0.754,0.725212430371521,0.7051876905782,0.747629221311825
"2021-09-10","2021-09-13",0.73,2021-09-13,0.696,0.764,0.736010510758284,0.716199788958663,0.75793386246043
"2021-09-24","2021-09-27",0.76,2021-09-27,0.726,0.794,0.760815485189329,0.738724043036533,0.783961773723802
"2021-10-08","2021-10-11",0.73,2021-10-11,0.696,0.764,0.752532982738624,0.735442809215331,0.770741482411644
"2021-10-22","2021-10-25",0.77,2021-10-25,0.736,0.804,0.771741473217524,0.751243821460066,0.794253167745891
"2021-11-05","2021-11-08",0.73,2021-11-08,0.696,0.764,0.759879119158896,0.744880309239367,0.776173805171071
