end_date,vax,se,ymd
2021-01-18,0.077,0.002,2021-01-18
2021-02-01,0.132,0.003,2021-02-01
2021-02-15,0.199,0.004,2021-02-15
2021-03-01,0.255,0.004,2021-03-01
2021-03-15,0.342,0.004,2021-03-15
2021-03-29,0.47,0.005,2021-03-29
2021-04-26,0.697,0.005,2021-04-26
2021-05-10,0.746,0.005,2021-05-10
2021-05-24,0.773,0.005,2021-05-24
2021-06-07,0.789,0.005,2021-06-07
2021-06-21,0.791,0.006,2021-06-21
2021-07-05,0.809,0.004,2021-07-05
2021-08-02,0.82,0.005,2021-08-02
2021-08-16,0.824,0.004,2021-08-16
2021-08-30,0.823,0.005,2021-08-30
2021-09-13,0.833,0.005,2021-09-13
2021-09-27,0.822,0.006,2021-09-27
2021-10-11,0.833,0.005,2021-10-11
