"end_date","vax","se","ymd","point.est","CI.L","CI.U"
"2021-01-18",0.077,0.002,2021-01-18,0.0770095288511208,0.0750136965312925,0.0790314173751569
"2021-02-01",0.132,0.003,2021-02-01,0.13198548491858,0.129664074710475,0.134325502415117
"2021-02-15",0.199,0.004,2021-02-15,0.198980748534725,0.196174377102506,0.201803138675732
"2021-03-01",0.255,0.004,2021-03-01,0.254985438202721,0.251928331775124,0.258051312672095
"2021-03-15",0.342,0.004,2021-03-15,0.341984126537137,0.338674329632269,0.345305579673083
"2021-03-29",0.47,0.005,2021-03-29,0.469972204179437,0.466446140034456,0.473488684776484
"2021-04-26",0.697,0.005,2021-04-26,0.696975305113031,0.693417063409578,0.700513124537319
"2021-05-10",0.746,0.005,2021-05-10,0.745986466313956,0.742729264504601,0.749228890927299
"2021-05-24",0.773,0.005,2021-05-24,0.772997208686976,0.769860169159795,0.776111433121016
"2021-06-07",0.789,0.005,2021-06-07,0.788993813975184,0.785817214861546,0.792143432786596
"2021-06-21",0.791,0.006,2021-06-21,0.791368266181843,0.788633294363235,0.794383611397967
"2021-07-05",0.809,0.004,2021-07-05,0.808992799460725,0.805746114641199,0.812206758954937
"2021-08-02",0.82,0.005,2021-08-02,0.820003022282564,0.817019858880393,0.822957810025475
"2021-08-16",0.824,0.004,2021-08-16,0.824047591505302,0.821350086448188,0.826848988411042
"2021-08-30",0.823,0.005,2021-08-30,0.82418320926642,0.822064563326166,0.82650199788559
"2021-09-13",0.833,0.005,2021-09-13,0.832992730802377,0.83008103364196,0.83586372808177
"2021-09-27",0.822,0.006,2021-09-27,0.827901881475562,0.825859650210715,0.830022716875995
"2021-10-11",0.833,0.005,2021-10-11,0.833005873705674,0.830006528730011,0.836036653041661
