ymd,vax,n
2021-01-09,0.062148701144416646,133909
2021-01-16,0.08502502154375467,270568
2021-01-23,0.11920914768847642,263056
2021-01-30,0.15712275050043342,260586
2021-02-06,0.19513171113083552,230334
2021-02-13,0.23383673211107442,235069
2021-02-20,0.26996307083664284,232676
2021-02-27,0.3014878913166945,226223
2021-03-06,0.3515352963238921,230772
2021-03-13,0.4215056705824321,219852
2021-03-20,0.4893873355076115,220871
2021-03-27,0.5539817266468071,214263
2021-04-03,0.616122973379705,209531
2021-04-10,0.6720381610956278,201151
2021-04-17,0.7197836282799618,201703
2021-04-24,0.7553243079874732,183552
2021-05-01,0.7733363316502351,171943
2021-05-08,0.78716759935646885,157160
2021-05-15,0.7962284690834925,145159
2021-05-22,0.8020408229711578,142001
2021-05-29,0.8068134265488541,141273
2021-06-05,0.8099511532358654,147772
2021-06-12,0.8062620555143495,136088
2021-06-19,0.8099264147500855,121887
2021-06-26,0.8145040825085106,101443
2021-07-03,0.8158925833401782,130095
2021-07-10,0.817889537910481,137332
2021-07-17,0.8224223593988811,147209
2021-07-24,0.8251938065490646,162450
2021-07-31,0.8229222034611252,171533
2021-08-07,0.8184798184608777,184702
2021-08-14,0.8177748983438256,204953
2021-08-21,0.8200267026096991,204314
2021-08-28,0.8193012979996455,205959
2021-09-04,0.8222067498440205,199237
2021-09-11,0.8255503045239512,193132
2021-09-18,0.8202810176745721,184874
2021-09-25,0.8239674515604697,164983
2021-10-02,0.820924993098737,154751
2021-10-09,0.8178854684697031,137659
2021-10-16,0.8188972757957719,115977
2021-10-23,0.8222866448407313,118569
2021-10-30,0.8191599752990993,146301
2021-11-06,0.8217572959121698,139317
2021-11-13,0.8232803862723881,138302
2021-11-20,0.8289427742341411,131339
2021-11-27,0.8314712899132033,127844
2021-12-04,0.8347647246828034,116483
