"mode","end_date","Y","n","CI.L","CI.U","posrate"
"facebook",2021-01-09,9077,152801,0.057961077754313,0.060846652245687,0.059403865
"facebook",2021-01-16,24888,305589,0.0802597433759061,0.0826278026240938,0.081443773
"facebook",2021-01-23,33962,296321,0.113208908403715,0.116014753596285,0.114611831
"facebook",2021-01-30,44352,293140,0.149702519054173,0.152896956945827,0.151299738
"facebook",2021-02-06,48894,259869,0.186279128401515,0.190016021598485,0.188147575
"facebook",2021-02-13,59875,266285,0.222880527327143,0.226822944672857,0.224851736
"facebook",2021-02-20,68331,263044,0.257685472944617,0.261857911055383,0.259771692
"facebook",2021-02-27,74304,255651,0.288443433141299,0.292850272858701,0.290646853
"facebook",2021-03-06,88007,261750,0.333961415205689,0.338487776794311,0.336224596
"facebook",2021-03-13,100057,248990,0.399420024972767,0.404283701027233,0.401851863
"facebook",2021-03-20,116843,249990,0.464925882694222,0.469853389305778,0.467389636
"facebook",2021-03-27,128162,242408,0.526194381303093,0.531215500696907,0.528704941
"facebook",2021-04-03,139752,236226,0.589107645249582,0.594099394750418,0.59160352
"facebook",2021-04-10,146724,227358,0.642866759601945,0.647816096398055,0.645341428
"facebook",2021-04-17,157584,226692,0.692784291161583,0.697503298838417,0.695143795
"facebook",2021-04-24,150611,205896,0.7291095867055,0.7338765612945,0.731493074
"facebook",2021-05-01,145360,193317,0.749528417248119,0.754322740751881,0.751925579
"facebook",2021-05-08,135441,176655,0.764242680292094,0.769153931707906,0.766698306
"facebook",2021-05-15,127231,163650,0.774947168004554,0.779965639995446,0.777456404
"facebook",2021-05-22,126185,160360,0.784388462737175,0.789379597262825,0.78688403
"household_pulse",2021-01-18,5173,68348,0.070470380356541,0.080892381419396,0.0756813808879685
"household_pulse",2021-02-01,10570,80567,0.122774740196635,0.139615690635189,0.131195215415912
"household_pulse",2021-02-15,15285,77122,0.188502416200155,0.207881044540503,0.198191730370329
"household_pulse",2021-03-01,19714,77788,0.24313999649338,0.263712352197268,0.253426174345324
"household_pulse",2021-03-15,26632,78306,0.329964815427186,0.3502409514449,0.340102883436043
"household_pulse",2021-03-29,36062,77104,0.454964617938088,0.480439416134652,0.46770201703637
"household_pulse",2021-04-26,47684,68913,0.67832743588563,0.705554531776634,0.691940983831132
"household_pulse",2021-05-10,58124,78467,0.726881713050999,0.754618499948839,0.740750106499919
"ipsos_axios",2021-01-11,31,1038,-0.004,0.064,0.03
"ipsos_axios",2021-01-25,100,1112,0.058,0.122,0.09
"ipsos_axios",2021-02-01,135,1038,0.097,0.163,0.13
"ipsos_axios",2021-02-08,154,1030,0.116,0.184,0.15
"ipsos_axios",2021-02-22,196,1029,0.157,0.223,0.19
"ipsos_axios",2021-03-01,250,1088,0.199,0.261,0.23
"ipsos_axios",2021-03-08,250,1001,0.218,0.282,0.25
"ipsos_axios",2021-03-22,358,995,0.327,0.393,0.36
"ipsos_axios",2021-04-05,460,979,0.437,0.503,0.47
"ipsos_axios",2021-04-19,578,1033,0.527,0.593,0.56
"ipsos_axios",2021-05-10,690,1078,0.608,0.672,0.64
