"n","surveys","date"
-8.68777122593633,"Delphi-Facebook",2021-01-11
54.7607531453593,"Delphi-Facebook",2021-01-25
80.2454617752985,"Delphi-Facebook",2021-02-01
149.161756074036,"Delphi-Facebook",2021-02-08
153.994311363582,"Delphi-Facebook",2021-02-22
375.756620117559,"Delphi-Facebook",2021-03-01
174.217184589091,"Delphi-Facebook",2021-03-08
185.497408137286,"Delphi-Facebook",2021-03-22
189.661335695528,"Delphi-Facebook",2021-04-05
197.100064267884,"Delphi-Facebook",2021-04-19
300.971994150382,"Delphi-Facebook",2021-05-10
424.564915802673,"Delphi-Facebook",2021-05-24
564.300064755128,"Delphi-Facebook",2021-06-07
663.737227861214,"Delphi-Facebook",2021-06-28
712.108455135114,"Delphi-Facebook",2021-07-19
1022.79249050848,"Delphi-Facebook",2021-08-02
1083.33923257334,"Delphi-Facebook",2021-08-16
1112.73332969909,"Delphi-Facebook",2021-08-30
969.815429770058,"Delphi-Facebook",2021-09-13
1064.99240136554,"Delphi-Facebook",2021-09-27
941.477733961121,"Delphi-Facebook",2021-10-11
1209.63956512941,"Delphi-Facebook",2021-10-25
821.34471238532,"Delphi-Facebook",2021-11-08
-3.86307183008262,"Household Pulse",2021-01-11
-6.56659866890232,"Household Pulse",2021-01-25
13.2298359743877,"Household Pulse",2021-02-01
1.90733348118306,"Household Pulse",2021-02-08
59.9302981837459,"Household Pulse",2021-02-22
125.197054732718,"Household Pulse",2021-03-01
25.2776049747927,"Household Pulse",2021-03-08
36.8487233503661,"Household Pulse",2021-03-22
63.6150215672093,"Household Pulse",2021-04-05
34.4659253998063,"Household Pulse",2021-04-19
104.210980709805,"Household Pulse",2021-05-10
197.92202590556,"Household Pulse",2021-05-24
265.504251616014,"Household Pulse",2021-06-07
275.031783099182,"Household Pulse",2021-06-28
245.089763020373,"Household Pulse",2021-07-19
484.484269127699,"Household Pulse",2021-08-02
552.702748209425,"Household Pulse",2021-08-16
738.061654732548,"Household Pulse",2021-08-30
642.813135022115,"Household Pulse",2021-09-13
724.100593449148,"Household Pulse",2021-09-27
418.557640995961,"Household Pulse",2021-10-11
270.210704488584,"Household Pulse",2021-10-25
92.3069292024725,"Household Pulse",2021-11-08
19.5020110782241,"Both Surveys",2021-01-11
34.6663503317357,"Both Surveys",2021-01-25
96.7758303898654,"Both Surveys",2021-02-01
128.039584595438,"Both Surveys",2021-02-08
299.928785573309,"Both Surveys",2021-02-22
1112.93787600604,"Both Surveys",2021-03-01
542.015320311828,"Both Surveys",2021-03-08
587.899766577413,"Both Surveys",2021-03-22
515.478006187058,"Both Surveys",2021-04-05
300.972657704048,"Both Surveys",2021-04-19
493.740303158352,"Both Surveys",2021-05-10
568.293689602478,"Both Surveys",2021-05-24
849.442479882283,"Both Surveys",2021-06-07
998.960965271992,"Both Surveys",2021-06-28
926.868329095858,"Both Surveys",2021-07-19
1394.35557550934,"Both Surveys",2021-08-02
1525.89744041007,"Both Surveys",2021-08-16
1785.33317871466,"Both Surveys",2021-08-30
1641.39069427515,"Both Surveys",2021-09-13
1715.383212841,"Both Surveys",2021-09-27
1318.79730800364,"Both Surveys",2021-10-11
1217.91733906775,"Both Surveys",2021-10-25
850.004650404232,"Both Surveys",2021-11-08
