"dgm","model","est","posrate","bias"
"constant","const",0.491023928711123,0.500785023101261,-0.00976109439013895
"constant","linear",0.541738866423517,0.500785023101261,0.0409538433222555
"constant","walk",0.513943112927009,0.500785023101261,0.0131580898257476
"constant","unbiased",0.553298045477411,0.500785023101261,0.0525130223761499
"linear","const",0.76483426217072,0.714694640923793,0.0501396212469272
"linear","linear",0.732342220710361,0.714694640923793,0.0176475797865676
"linear","walk",0.757548316408983,0.714694640923793,0.0428536754851898
"linear","unbiased",0.738667375025242,0.714694640923793,0.0239727341014488
"walk","const",0.192188534882215,0.20221137008982,-0.0100228352076045
"walk","linear",0.195821944903772,0.20221137008982,-0.00638942518604729
"walk","walk",0.19210900099959,0.20221137008982,-0.0101023690902293
"walk","unbiased",0.178094553890668,0.20221137008982,-0.0241168161991514
"constant","const",0.922510039776392,0.921707100801734,0.000802938974657774
"constant","linear",0.908060675453238,0.921707100801734,-0.0136464253484961
"constant","walk",0.917948213223609,0.921707100801734,-0.00375888757812515
"constant","unbiased",0.894996241352118,0.921707100801734,-0.0267108594496166
"linear","const",0.619529783925588,0.567637927946588,0.0518918559790006
"linear","linear",0.567084634757832,0.567637927946588,-0.000553293188755632
"linear","walk",0.601527790426702,0.567637927946588,0.0338898624801137
"linear","unbiased",0.539015479904696,0.567637927946588,-0.0286224480418921
"walk","const",0.76966991506144,0.756643529491104,0.0130263855703354
"walk","linear",0.753346845600162,0.756643529491104,-0.0032966838909424
"walk","walk",0.748656486547327,0.756643529491104,-0.00798704294377739
"walk","unbiased",0.741759602897764,0.756643529491104,-0.01488392659334
"constant","const",0.215936120812428,0.220445577080762,-0.00450945626833427
"constant","linear",0.200056690808515,0.220445577080762,-0.0203888862722465
"constant","walk",0.208131928990222,0.220445577080762,-0.0123136480905394
"constant","unbiased",0.196567349192912,0.220445577080762,-0.0238782278878498
"linear","const",0.809350882071356,0.84242333213097,-0.0330724500596135
"linear","linear",0.790630870533123,0.84242333213097,-0.0517924615978467
"linear","walk",0.798516042526333,0.84242333213097,-0.0439072896046372
"linear","unbiased",0.779540205150212,0.84242333213097,-0.0628831269807583
"walk","const",0.44368725536568,0.418983833600142,0.0247034217655379
"walk","linear",0.392279516059194,0.418983833600142,-0.0267043175409475
"walk","walk",0.401988432311059,0.418983833600142,-0.0169954012890828
"walk","unbiased",0.366060838910481,0.418983833600142,-0.0529229946896607
"constant","const",0.809167776561289,0.812504283683685,-0.0033365071223963
"constant","linear",0.826804157542645,0.812504283683685,0.0142998738589591
"constant","walk",0.816357714517095,0.812504283683685,0.00385343083340917
"constant","unbiased",0.83492762754381,0.812504283683685,0.0224233438601248
"linear","const",0.297815926206486,0.276908234618655,0.0209076915878312
"linear","linear",0.290914075978005,0.276908234618655,0.0140058413593504
"linear","walk",0.278353786921638,0.276908234618655,0.00144555230298349
"linear","unbiased",0.231312269697383,0.276908234618655,-0.0455959649212718
"walk","const",0.28772261826455,0.314338421524755,-0.0266158032602054
"walk","linear",0.27271573410404,0.314338421524755,-0.0416226874207152
"walk","walk",0.257879111751366,0.314338421524755,-0.0564593097733886
"walk","unbiased",0.249774957376691,0.314338421524755,-0.0645634641480644
"constant","const",0.0883095204149767,0.105786068615539,-0.0174765482005619
"constant","linear",0.0945095048367641,0.105786068615539,-0.0112765637787745
"constant","walk",0.092245756642361,0.105786068615539,-0.0135403119731775
"constant","unbiased",0.102325693664845,0.105786068615539,-0.00346037495069391
"linear","const",0.610981378874401,0.559695250828699,0.0512861280457028
"linear","linear",0.648257944023833,0.559695250828699,0.0885626931951345
"linear","walk",0.626515208507161,0.559695250828699,0.0668199576784628
"linear","unbiased",0.611721053303262,0.559695250828699,0.0520258024745629
"walk","const",0.386630543331159,0.477117916540137,-0.0904873732089778
"walk","linear",0.488268972387277,0.477117916540137,0.0111510558471404
"walk","walk",0.493694298115423,0.477117916540137,0.0165763815752863
"walk","unbiased",0.520610405828233,0.477117916540137,0.0434924892880966
"constant","const",0.949664349788393,0.952459616843035,-0.0027952670546415
"constant","linear",0.940224813440165,0.952459616843035,-0.01223480340287
"constant","walk",0.938267449510477,0.952459616843035,-0.0141921673325583
"constant","unbiased",0.9254040328168,0.952459616843035,-0.0270555840262351
"linear","const",0.588856105733422,0.568450454268143,0.0204056514652787
"linear","linear",0.609344944797976,0.568450454268143,0.0408944905298336
"linear","walk",0.603259809652191,0.568450454268143,0.0348093553840483
"linear","unbiased",0.610234940659128,0.568450454268143,0.0417844863909849
"walk","const",0.512775699482885,0.523029953645849,-0.0102542541629635
"walk","linear",0.514277423031092,0.523029953645849,-0.00875253061475711
"walk","walk",0.537251469472774,0.523029953645849,0.0142215158269257
"walk","unbiased",0.552438420177146,0.523029953645849,0.029408466531297
"constant","const",0.962577712294076,0.959888593287371,0.00268911900670432
"constant","linear",0.964076910878873,0.959888593287371,0.00418831759150173
"constant","walk",0.960778676561166,0.959888593287371,0.000890083273794695
"constant","unbiased",0.93479265587106,0.959888593287371,-0.025095937416311
"linear","const",0.245232203666504,0.188693260700996,0.0565389429655077
"linear","linear",0.221299043335993,0.188693260700996,0.0326057826349967
"linear","walk",0.232245961656721,0.188693260700996,0.0435527009557251
"linear","unbiased",0.211872752382508,0.188693260700996,0.0231794916815123
"walk","const",0.167940367295787,0.147518692982294,0.0204216743134934
"walk","linear",0.167621420098542,0.147518692982294,0.0201027271162481
"walk","walk",0.161182374485273,0.147518692982294,0.0136636815029792
"walk","unbiased",0.139849283708061,0.147518692982294,-0.00766940927423293
"constant","const",0.0973505325486521,0.0955163625332151,0.00183417001543705
"constant","linear",0.102266939139662,0.0955163625332151,0.00675057660644721
"constant","walk",0.0999339012326009,0.0955163625332151,0.00441753869938578
"constant","unbiased",0.105782979377801,0.0955163625332151,0.0102666168445859
"linear","const",0.163414392423948,0.109304693431784,0.0541096989921644
"linear","linear",0.121322842342138,0.109304693431784,0.0120181489103539
"linear","walk",0.147385391101754,0.109304693431784,0.0380806976699701
"linear","unbiased",0.132874704462178,0.109304693431784,0.0235700110303939
"walk","const",0.229820714417588,0.156098166929797,0.0737225474877912
"walk","linear",0.162631809443199,0.156098166929797,0.00653364251340191
"walk","walk",0.180332245514057,0.156098166929797,0.0242340785842595
"walk","unbiased",0.174950000287804,0.156098166929797,0.0188518333580069
"constant","const",0.913979049600819,0.916618172532375,-0.00263912293155655
"constant","linear",0.937865430090358,0.916618172532375,0.0212472575579824
"constant","walk",0.921237105969207,0.916618172532375,0.00461893343683151
"constant","unbiased",0.931118752579809,0.916618172532375,0.014500580047434
"linear","const",0.816616193459075,0.758691937851583,0.0579242556074918
"linear","linear",0.774773260575307,0.758691937851583,0.0160813227237241
"linear","walk",0.799748214203556,0.758691937851583,0.0410562763519734
"linear","unbiased",0.78443233620338,0.758691937851583,0.0257403983517975
"walk","const",0.594569120093005,0.548229783877741,0.0463393362152642
"walk","linear",0.528185276689691,0.548229783877741,-0.0200445071880506
"walk","walk",0.534113384751088,0.548229783877741,-0.0141163991266534
"walk","unbiased",0.522797402815668,0.548229783877741,-0.0254323810620729
"constant","const",0.780215256178378,0.784622033123745,-0.00440677694536673
"constant","linear",0.7739972433193,0.784622033123745,-0.010624789804445
"constant","walk",0.777081688215263,0.784622033123745,-0.00754034490848143
"constant","unbiased",0.75594472092458,0.784622033123745,-0.0286773121991653
"linear","const",0.285233604458381,0.288683170651128,-0.00344956619274739
"linear","linear",0.278518348329513,0.288683170651128,-0.0101648223216153
"linear","walk",0.279443357516462,0.288683170651128,-0.00923981313466604
